Name;URL;Author;Price;Number of Ratings;Average Ratings
A Modern Approach to Verbal & Non-Verbal Reasoning (2 Colour Edition);https://www.amazon.in/Modern-Approach-Verbal-Non-Verbal-Reasoning/dp/9352832167?_encoding=UTF8&psc=1;R.S. Aggarwal;₹ 608.00;2,613;4.4 out of 5 stars
"Certificate Physical And Human Geography; Indian Edition";https://www.amazon.in/Certificate-Physics-Human-Geography-Indian/dp/0195628160?_encoding=UTF8&psc=1;Not Available;₹ 246.00;3,408;4.5 out of 5 stars
How to Win Friends and Influence People;https://www.amazon.in/How-Win-Friends-Influence-People/dp/8192910997?_encoding=UTF8&psc=1;Dale Carnegie;₹ 175.00;23,842;4.5 out of 5 stars
1001 Activities Book;https://www.amazon.in/1001-Activities-Book-Dreamland-Publications/dp/9350897245?_encoding=UTF8&psc=1&smid=AT95IG9ONZD7S;Not Available;₹ 260.00;1,939;4.5 out of 5 stars
Harry Potter and the Philosopher's Stone;https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling/dp/1408855658?_encoding=UTF8&psc=1;J.K. Rowling;₹ 285.00;13,960;4.7 out of 5 stars
Environment By Shankar (7th) Revised Edition (2019-2020 Session);https://www.amazon.in/Environment-SHANKAR-6th-Revised-2018/dp/B07KF7H5JS?_encoding=UTF8&psc=1;Shankar;₹ 376.00;2,706;4.3 out of 5 stars
Wren & Martin High School English Grammar and Composition Book (Regular Edition);https://www.amazon.in/School-English-Grammar-Composition-Regular/dp/9352530144?_encoding=UTF8&psc=1;Rao N;₹ 279.00;2,306;4.4 out of 5 stars
My First Learning Library Box Set: 20 Board Books Gift Set for Kids (Horizontal Design);https://www.amazon.in/First-Learning-Library-Box-Set/dp/9388369882?_encoding=UTF8&psc=1;Not Available;₹ 899.00;1,704;4.5 out of 5 stars
You Only Live Once: Author Signed Limited Edition;https://www.amazon.in/You-Only-Live-Once-Limited/dp/B084VJ84ZJ?_encoding=UTF8&psc=1;Stuti Changle;₹ 150.00;243;4.6 out of 5 stars
Lexicon for Ethics, Integrity & Aptitude for IAS General Studies - 6th Paper Edition 2020;https://www.amazon.in/Lexicon-Integrity-Aptitude-General-Studies/dp/8194204828?_encoding=UTF8&psc=1;Not Available;₹ 384.00;366;4.4 out of 5 stars
"Death; An Inside Story: A book for all those who shall die";https://www.amazon.in/Death-Inside-Story-those-shall/dp/0143450832?_encoding=UTF8&psc=1;Sadhguru;₹ 263.00;2,133;4.7 out of 5 stars
Colour with Crayons Part - 1;https://www.amazon.in/Colour-Crayons-Part-Dreamland-Publications/dp/1730175066?_encoding=UTF8&psc=1;Not Available;₹ 56.00;1,171;4.1 out of 5 stars
Bhagavad Gita: Yatharoop (Hindi);https://www.amazon.in/Bhagavad-Gita-Bhaktivendanta-Swami-Prabhupada/dp/938598618X?_encoding=UTF8&psc=1;Not Available;₹ 175.00;3,510;4.8 out of 5 stars
Life is What You Make It;https://www.amazon.in/Life-What-Make-Preeti-Shenoy/dp/9380349300?_encoding=UTF8&psc=1;Preeti Shenoy;₹ 97.00;5,474;4.1 out of 5 stars
Refreshing Mandala - Colouring Book for Adults Book 1;https://www.amazon.in/Refreshing-Mandala-Colouring-Book-Adults/dp/9350897601?_encoding=UTF8&psc=1;Not Available;₹ 175.00;1,394;4.6 out of 5 stars
7 Years UPSC IAS/ IPS Mains General Studies Papers 1 - 4 Year-wise Solved (2013 - 2019);https://www.amazon.in/Years-Mains-General-Studies-Papers/dp/9387045838?_encoding=UTF8&psc=1;Disha Experts;₹ 161.00;541;4.3 out of 5 stars
Objective General English;https://www.amazon.in/Objective-General-English-S-P-Bakshi/dp/9351768449?_encoding=UTF8&psc=1;S.P. Bakshi;₹ 187.00;4,486;4.2 out of 5 stars
World Map;https://www.amazon.in/World-Map-Dreamland-Publications/dp/8184511213?_encoding=UTF8&psc=1;Not Available;₹ 86.00;3,346;4.4 out of 5 stars
The Subtle Art of Not Giving a F*ck;https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549?_encoding=UTF8&psc=1;Mark Manson;₹ 298.00;23,392;4.4 out of 5 stars
The Gopi Diaries: Coming Home;https://www.amazon.in/Gopi-Diaries-Coming-Home/dp/9353575885?_encoding=UTF8&psc=1;Not Available;₹ 176.00;278;4.6 out of 5 stars
Rich Dad Poor Dad - 20th Anniversary Edition (Hindi);https://www.amazon.in/Rich-Dad-Poor-Robert-Kiyosaki/dp/8186775218?_encoding=UTF8&psc=1;Robert T. Kiyosaki;₹ 179.00;2,986;4.6 out of 5 stars
The Science of Mind Management;https://www.amazon.in/Science-Mind-Management-Swami-Mukundananda/dp/9389648440?_encoding=UTF8&psc=1;Swami Mukundananda;₹ 280.00;129;4.8 out of 5 stars
My First 1000 Words: Early Learning Picture Book to learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and Animals, Professions, Opposite ... Parts of the body and Objects Around Us.;https://www.amazon.in/First-1000-Words-Transport-Professions/dp/9388144112?_encoding=UTF8&psc=1;Not Available;₹ 189.00;829;4.5 out of 5 stars
Challenges to Internal Security of India (Third Edition);https://www.amazon.in/Challenges-Internal-Security-India-Third/dp/9353167175?_encoding=UTF8&psc=1;Ashok Kumar;₹ 253.00;731;4.6 out of 5 stars
Ruskin Bond - Best Selling Children Story Books Collection (Set of 4 Books);https://www.amazon.in/Ruskin-Bond-Selling-Children-Collection/dp/8131964817?_encoding=UTF8&psc=1;Not Available;₹ 419.00;166;4.4 out of 5 stars
Cracking the Coding Interview (Indian Edition);https://www.amazon.in/Cracking-the-Coding-Interview/dp/0984782869?_encoding=UTF8&psc=1;Not Available;₹ 446.00;307;4.4 out of 5 stars
Bhagvad gita as it is english new edition;https://www.amazon.in/Bhagvad-gita-as-english-new/dp/9384564192?_encoding=UTF8&psc=1;Not Available;₹ 259.00;2,530;4.7 out of 5 stars
The Immortals of Meluha (Shiva Trilogy): 1;https://www.amazon.in/Immortals-Meluha-Shiva-Trilogy/dp/9380658745?_encoding=UTF8&psc=1;Not Available;₹ 208.00;5,767;4.6 out of 5 stars
Who Will Cry When You Die?;https://www.amazon.in/Who-Will-Cry-When-You/dp/8179922324?_encoding=UTF8&psc=1;Robin Sharma;₹ 142.00;5,651;4.5 out of 5 stars
Brain Games for Clever Kids: Puzzles to Exercise Your Mind (Buster Brain Games);https://www.amazon.in/Brain-Games-Clever-Kids-Buster/dp/1780552491?_encoding=UTF8&psc=1;Not Available;₹ 224.00;2,111;4.3 out of 5 stars
Be Your Own Sunshine;https://www.amazon.in/Your-Own-Sunshine-James-Allen/dp/9387022854?_encoding=UTF8&psc=1;James Allen;₹ 96.00;72;4.1 out of 5 stars
One Indian Girl;https://www.amazon.in/One-Indian-Girl-Chetan-Bhagat/dp/8129142147?_encoding=UTF8&psc=1;Chetan Bhagat;₹ 78.00;8,089;3.9 out of 5 stars
Bharat Ki Rajvyavastha - Civil Seva Evam Anya Rajya Parikshao Hetu | 6th Edition (Hindi);https://www.amazon.in/Bharat-Ki-Rajvyavastha-Civil-Parikshao/dp/9389538483?_encoding=UTF8&psc=1;M. Laxmikanth;₹ 489.00;1,111;4.5 out of 5 stars
A Man Called Ove: The life-affirming bestseller that will brighten your day;https://www.amazon.in/Man-Called-Ove-life-affirming-bestseller/dp/1444775812?_encoding=UTF8&psc=1;Fredrik Backman;₹ 299.00;17,560;4.7 out of 5 stars
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life;https://www.amazon.in/Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295?_encoding=UTF8&psc=1;Gaur Gopal Das;₹ 230.00;4,545;4.6 out of 5 stars
Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth;https://www.amazon.in/Mahatma-Gandhi-Autobiography-Story-Experiments/dp/8172343116?_encoding=UTF8&psc=1;Not Available;₹ 139.00;1,424;4.5 out of 5 stars
